item_id,item_description,upc
125Y,"PROCHALK® LEVEL 2, HIGH-VISIBILITY, YELLOW, 25 LBS",052837006533
148B,"PROCHALK® LEVEL 1, STANDARD, BLUE, 48 LBS",052837006625
148GO,"PROCHALK® LEVEL 2, HIGH-VISIBILITY, GLO-ORANGE, 48 LBS",052837006649
148R,"PROCHALK® LEVEL 3, SEMI-PERMANENT, RED, 48 LBS",052837006601
148W,"PROCHALK® LEVEL 1, STANDARD, WHITE, 48 LBS",052837006618
148Y,"PROCHALK® LEVEL 2, HIGH-VISIBILITY, YELLOW, 48 LBS",052837006632
5BD,"PROCHALK® LEVEL 5, STAINING DYE, BLUE, 5 OZ",052837025916
5BLACKD,"PROCHALK® LEVEL 5, STAINING DYE, BLACK, 5 OZ",052837029136
5RD,"PROCHALK® LEVEL 5, STAINING DYE, RED, 5 OZ",052837026838
8B,"PROCHALK® LEVEL 1, STANDARD, BLUE, 8 OZ",052837006120
8BLACK,"PROCHALK® LEVEL 3, SEMI-PERMANENT, BLACK, 8 OZ",052837025954
8GL,"PROCHALK® LEVEL 2, HIGH-VISIBILITY, GLO-LIME, 8 OZ",052837006427
8GO,"PROCHALK® LEVEL 2, HIGH-VISIBILITY, GLO-ORANGE, 8 OZ",052837006403
8R,"PROCHALK® LEVEL 3, SEMI-PERMANENT, RED, 8 OZ",052837006106
8W,"PROCHALK® LEVEL 1, STANDARD, WHITE, 8 OZ",052837006113
8Y,"PROCHALK® LEVEL 2, HIGH-VISIBILITY, YELLOW, 8 OZ",052837006137
PM103BLACK,"PROCHALK® LEVEL 4, PERMANENT, BLACK, 3 LBS",052837021499
PM103BLUE,"PROCHALK® LEVEL 4, PERMANENT, BLUE, 3 LBS",052837021512
PM103RED,"PROCHALK® LEVEL 4, PERMANENT, RED, 3 LBS",052837021536
PM105BLACK,"PROCHALK® LEVEL 4, PERMANENT, BLACK, 5 LBS",052837025299
PM105BLUE,"PROCHALK® LEVEL 4, PERMANENT, BLUE, 5 LBS",052837025688
PM105RED,"PROCHALK® LEVEL 4, PERMANENT, RED, 5 LBS",052837025695
PM8BLACK,"PROCHALK® LEVEL 4, PERMANENT, BLACK, 8 OZ",052837021482
PM8BLUE,"PROCHALK® LEVEL 4, PERMANENT, BLUE, 8 OZ",052837021505
PM8RED,"PROCHALK® LEVEL 4, PERMANENT, RED, 8 OZ",052837021529
G100,"CHALK LINE REEL, LITTLE GIANT, 100 FT",052837020089
G1003R,"CHALK LINE REEL SET, LITTLE GIANT, 100 FT WITH 3 LB RED CHALK",052837020508
G100C,"CHALK LINE REEL, LITTLE GIANT, 100 FT, COTTON LINE",052837026418
G110,"CHALK LINE REEL, LITTLE GIANT, 110 FT",052837021895
G110D,"CHALK LINE REEL, LITTLE GIANT, 110 FT, 2 BOXES 1 LINE",052837023882
G130,"CHALK LINE REEL, GIANT, 130 FT",052837005864
G1303R,"CHALK LINE REEL SET, GIANT, 130 FT, WITH 3 LBS RED",052837010080
G150,"CHALK LINE REEL, GIANT, 150 FT",052837021901
G150BOLD,"LITTLE GIANT CHALK LINE REEL, 150', 2.0MM BOLD STRING, ABS",052837026647
G150C,"CHALK LINE REEL, GIANT, 150 FT, COTTON LINE",052837026777
G3X,"CHALK LINE REEL, GIANT, 3X1 REWIND, 100 FT",052837028498
G3X100,"CHALK LINE REEL, GIANT, 3X1 REWIND, 100 FT W/CHALK SPRAY CATCHER",052837026432
G3X150BOLD,"CHALK LINE REEL, GIANT, 3X REWIND, 150', 2.0MM BOLD STRING, ABS",052837028672
K1,"CHALK LINE REEL, METAL, 100 FT",052837022656
K1CB,"CHALK LINE REEL SET, METAL, 100 FT, W/ 4 OZ BLUE",052837022908
K1CR,"CHALK LINE REEL SET, METAL, 100 FT, W/ 4 OZ RED",052837022915
K3X,"CHALK LINE REEL, 3X REWIND, 100', STANDARD STRING, ABS",052837028597
K3X4B,"CHALK LINE REEL, 3X REWIND, 100', 1.0MM STRING, ABS, WITH 4OZ BLUE CHALK",052837028603
K3X4R,"CHALK LINE REEL, 3X REWIND, 100', 1.0MM STRING, ABS, WITH 4OZ RED CHALK",052837028610
K3XBKT,25 EACH K3X CHALK LINE REELS BULK PACKED IN A BUCKET,052837028634
K3XPRO,"CHALK LINE REEL, 3X REWIND, 100', PRECISION STRING, ABS AND METAL",052837028641
P100,"CHALK LINE REEL, 100 FT, 1.5MM LINE",052837023486
P100BKT,30 EACH P100 CHALK LINE REELS PACKED IN A BUCKET,052837028696
RL100P,CLR REPLACEMENT LINE PRECISION 100' CARDED,052837028764
RL100S,CLR REPLACEMENT LINE STANDARD 100' CARDED,052837028757
RL150B,150' REPLACEMENT LINE BOLD 150' ON CORE,052837028771
RL150G,CLR REPLACEMENT LINE GIANT 150' ON CORE,052837028788
RL150GC,CLR REPLACEMENT LINE GIANT COTTON 150' ON CORE,052837028795
CMBBULK,BULK PACK CHINA MARKER BLUE - 144/PK *WHILE SUPPLIES LAST,052837023790
CMBKBULK,BULK PACK CHINA MARKER BLACK - 144/PK *WHILE SUPPLIES LAST,052837023806
LCBLACK,LUMBER CRAYON BLACK,052837009237
LCBLUE,LUMBER CRAYON BLUE,052837009220
LCORANGE,LUMBER CRAYON ORANGE - REPLACES LCGPINK,052837021314
LCRED,LUMBER CRAYON  RED,052837009206
LCWHITE,LUMBER CRAYON WHITE,052837009213
LCYELLOW,LUMBER CRAYON YELLOW,052837009251
PS100,WALNUT WOOD LUBMER CRAYON HOLDER,052837008124
FTB,"TFB-730 FLAGGING TAPE, BLUE (1 3/16 X 300 FT)",841749052635
FTG,"TFG-730 FLAGGING TAPE, GREEN (1 3/16 IN X 300 FT)",841749052642
FTGL,"TFLG-730 FLAGGING TAPE, GLO-LIME (1 3/16 IN X 150 FT)",841749052659
FTGO,"TFOG-730 FLAGGING TAPE, GLO-ORANGE (1 3/16 IN X 150 FT)",841749052666
FTGP,"TFPG-730 FLAGGING TAPE, GLO-PINK (1 3/16 IN X 150 FT)",841749052673
FTGR,"TFRG-730 FLAGGING TAPE, GLO-RED (1 3/16 IN X 150 FT)",841749052734
FTO,"TFO-730 FLAGGING TAPE, ORANGE (1 3/16 IN X 300 FT)",841749052680
FTP,"TFP-730 FLAGGING TAPE, PICK (1 3/16 IN X 300 FT)",841749052727
FTR,"TFR-730 FLAGGING TAPE, RED (1 3/16 IN X 300 FT)",841749052697
FTW,"TFW-730 FLAGGING TAPE, WHITE (1 3/16 IN X 300 FT)",841749052703
FTY,"TFY-730 FLAGGING TAPE, YELLOW (1 3/16 IN X 300 FT)",841749052710
LKB24,"KESON, BOX-BEAM, 3 FOCUS-20 VIALS, 24""",052837028818
LKB24D,"KESON, BOX-BEAM, 2 FOCUS-20 VIALS, 24"", DIGITAL, W/BAG",052837028917
LKB24M,"KESON, BOX-BEAM, 3 FOCUS-20 VIALS, 24"", LATERAL MAGNETIC",052837028962
LKB32,"KESON, BOX-BEAM, 3 FOCUS-20 VIALS, 32""",052837028825
LKB32M,"KESON, BOX-BEAM, 3 FOCUS-20 VIALS, 32"", LATERAL MAGNETIC",052837028979
LKB48,"KESON, BOX-BEAM, 3 FOCUS-20 VIALS, 48""",052837028832
LKB48D,"KESON, BOX-BEAM, 2 FOCUS-20 VIALS, 48"", DIGITAL, W/BAG",052837028924
LKB48M,"KESON, BOX-BEAM, 3 FOCUS-20 VIALS, 48"", LATERAL MAGNETIC",052837028986
LKB72,"KESON, BOX-BEAM, 3 FOCUS-20-20 VIALS, 72""",052837028849
LKB72M,"KESON, BOX-BEAM, 3 FOCUS-20 VIALS, 72"", LATERAL MAGNETIC",052837028993
LKB78,"KESON, BOX-BEAM, 3 FOCUS-20 VIALS, 78""",052837028856
LKB7832,"KESON, BOX-BEAM, 3 FOCUS-20 VIALS, 78"" & 32"" JAMB SET",052837028870
LKB7832M,"KESON, BOX-BEAM, 3 FOCUS-20 VIALS, 78"" & 32"" JAMB SET, LATERAL MAGNETIC",052837029013
LKB78M,"KESON, BOX-BEAM, 3 FOCUS-20 VIALS, 78"", LATERAL MAGNETIC",052837029006
LKB96,"KESON, BOX-BEAM, 3 FOCUS-20 VIALS, 96""",052837028863
LKGOM,"KESON, GO! MAGNETIC POCKET LEVEL W/CLIP, 3"", 1 FOCUS-20 VIAL",052837029044
LKI24,"KESON, I-BEAM, 3 RING VIALS, 24""",052837028887
LKI48,"KESON, I-BEAM, 3 RING VIALS, 48""",052837028894
LKI72,"KESON, I-BEAM, 3 RING VIALS, 72""",052837028900
LKL3,"KESON, LINE, PLASTIC, RING VIALS, 3""",052837028955
LKS118,"KESON, SCREEDING LEVEL, 2 FOCUS-20 VIALS, 118""",052837029112
LKS39,"KESON, SCREEDING LEVEL, 2 FOCUS-20 VIALS, 39""",052837029075
LKS59,"KESON, SCREEDING LEVEL, 2 FOCUS-20 VIALS, 59""",052837029082
LKS78,"KESON, SCREEDING LEVEL, 2 FOCUS-20 VIALS, 78""",052837029099
LKS7839,"KESON, SCREEDING LEVEL SET, 2 FOCUS-20 VIALS, 78"" & 39""",052837029129
LKS78A,"KESON, SCREED, 3 FOCUS-20 VIALS, 78"" WITH CLOSE SET HANDLES *NEW ITEM",052837029167
LKS98,"KESON, SCREEDING LEVEL, 2 FOCUS-20 VIALS, 98""",052837029105
LKTALRM,"KESON, 9"" TORPEDO WITH HANG CARD, 3 VIALS, ABS AND ALUMINUM, MAGNETIC, V-GROOVE *NEW ITEM",052837029273
LKTALRMS,"KESON, 9"" TORPEDO LEVEL DISPLAY (10 UNITS), 3 VIALS, ABS AND ALUMINUM, MAGNETIC, V-GROOVE *NEW ITEM",052837029273
LKTFM,"KESON, TORPEDO, 3 FOCUS-20-60 VIAL, 9"", MAGNETIC, V-GROOVE",052837029037
LKTPRM,"KESON, TORPEDO, PLASTIC, 3 RING VIALS, 9"", MAGNETIC",052837029051
LKTRF,"KESON, TORPEDO, ROUNDED END, 2 FOCUS-20 VIALS, 9""",052837028931
LKTSF,"KESON, TORPEDO, STRAIGHT END, 2 FOCUS-20 VIALS, 9""",052837028948
HPL3180,"SOLA, HIGH PRECISION LEVEL, 3 FOCUS-60 SENSITIVE VIALS, 180CM/71-INCH *NEW ITEM",9002719030713
HPL75,"SOLA, HIGH PRECISION LEVEL, 3 FOCUS-60 SENSITIVE VIALS, 75CM/30-INCH *NEW ITEM",9002719030720
LSB10D,"SOLA, BOX-BEAM, VIAL-LESS, 10"", DIGITAL W/ BLUETOOTH®, W/CASE *NEW ITEM",885829001991
LSB16,"SOLA, BOX-BEAM, 2 FOCUS-60 VIALS, 16""",885829001090
LSB24,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 24""",885829001106
LSB24A,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 24"", 2 HAND HOLDS *NEW ITEM",885829001717
LSB24D,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 24"",  DIGITAL W/ BLUETOOTH®, W/CASE *NEW ITEM",885829001946
LSB24DLM,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 24"",  DIGITAL W/ BLUETOOTH®,  LATERAL MAGNETIC W/CASE *NEW ITEM",885829001960
LSB24LM,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 24"", LATERAL MAGNETIC",885829001922
LSB24MASON,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 24"", W/ 2 LEVEL GUARDS/MASON PADS *NEW ITEM",052837029259
LSB32,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 32""",885829001113
LSB32LM,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 32"", LATERAL MAGNETIC",885829001861
LSB36,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 36""",885829001120
LSB36LM,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 36"", LATERAL MAGNETIC",885829001243
LSB48,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 48""",885829001083
LSB4816,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 48"" & 16"" VALUE SET *NEW ITEM",885829001854
LSB48D,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 48"", DIGITAL W/ BLUETOOTH®, W/CASE *NEW ITEM",885829001953
LSB48DLM,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 48"", DIGITAL W/ BLUETOOTH®,  LATERAL MAGNETIC W/CASE *NEW ITEM",885829001885
LSB48LM,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS,  48"", LATERAL MAGNETIC",885829001281
LSB48MASON,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 48"", W/ 2 LEVEL GUARDS/MASON PADS *NEW ITEM",052837029440
LSB59,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 59""",885829001137
LSB59LM,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 59"", LATERAL MAGNETIC",885829001892
LSB72,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 72""",885829001144
LSB72D,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 72"", DIGITAL W/ BLUETOOTH®, W/CASE *NEW ITEM",885829001984
LSB72LM,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 72"", LATERAL MAGNETIC",885829001267
LSB78,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 78""",885829001151
LSB7832,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 78"" & 32"" JAMB SET",885829001342
LSB7832LM,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 78"" & 32"" JAMB SET, LATERAL MAGNETIC",885829001939
LSB78LM,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 78"", LATERAL MAGNETIC",885829001274
LSB96,"SOLA, BOX-BEAM, 3 FOCUS-60 VIALS, 96""",885829001168
LSBCLASSIC,"PRODUCT SET WITH LSB48, LSB24A, LSTFM, R316168 *NEW ITEM",052837029204
LSBCLASSICM,"PRODUCT SET WITH LSB48LM, LSB24LM, LSTFM, R316168 *NEW ITEM",052837029464
LSBCOMPLETE,"PRODUCT SET WITH LSB78, LSB48, LSB32, LSB24A, LSB16, LSTFM, R316169 *NEW ITEM",052837029211
LSBMASONSET,"PRODUCT SET WITH LSB24MASON, LSB48MASON, LSTFM, R316168 *NEW ITEMS",052837029457
LSBPAD21,"2 21"" LEVEL GUARDS/MASON PADS, BEST FOR 48"" LEVELS *NEW ITEM",052837029228
LSBPAD2109,"2 9"" & 2 21"" LEVEL GUARDS/MASON PADS, BEST FOR VARIOUS LEVELS  *NEW ITEM",052837029242
LSBPAD9,"2 9"" LEVEL GUARDS/MASON PADS, BEST FOR 24"" LEVELS *NEW ITEM",052837029235
LSGOM,"SOLA, GO! MAGNETIC POCKET LEVEL W/CLIP, 3"", 1 FOCUS-60 VIAL",885829001304
LSGOMD,"SOLA, GO! SMART MAGNETIC POCKET LEVEL W/BLUETOOTH TECHNOLOGY®, 3"", 1 FOCUS-60 VIAL *NEW ITEM",9002719039549
LSGOMDS,"SOLA, GO! SMART MAGNETIC POCKET LEVEL W/BLUETOOTH TECHNOLOGY®, 3"", 1 FOCUS-60 VIAL *DISPLAY OF 5 *NEW ITEM",9002719039549
LSTFM,"SOLA, TORPEDO, 3 FOCUS-60 VIALS, 10"", MAGNETIC, V-GROOVE",885829001311
LSX10,"SOLA, X-BEAM, 2 FOCUS-60 VIALS, 10""",885829001212
LSX16,"SOLA, X-BEAM, 2 FOCUS-60 VIALS, 16""",885829001175
LSX24,"SOLA, X-BEAM, 3 FOCUS-60 VIALS, 24""",885829001182
LSX32,"SOLA, X-BEAM, 3 FOCUS-60 VIALS, 32"" *NEW ITEM",885829001816
LSX48,"SOLA, X-BEAM, 3 FOCUS-60 VIALS, 48""",885829001199
LSX482410,"SOLA, X-BEAM, 3 FOCUS-60 VIALS, 48"", 24"", 10""",885829001298
LSX59,"SOLA, X-BEAM, 3 FOCUS-60 VIALS, 59"" *NEW ITEM",885829001830
LSX5932,"SOLA, X-BEAM, 3 FOCUS-30 VIALS, 59"" & 32"" TUB & SHOWER SET *NEW ITEM",885829001847
LSX72,"SOLA, X-BEAM, 3 FOCUS-60 VIALS, 72""",885829001205
MYMSOLAKC,"SOLA FOCUS 60 VIAL KEYCHAIN, SOLD IN DISPLAY JARS OF 80 PIECES *NEW ITEM",9002719025757
R100,"SOLA, 4""x2""x.5"" RECTANGULAR ACRYLIC LEVEL IN COUNTER TOP DISPLAY BOX *NEW ITEM",9002719043539
R316149,"LEVEL NYLON CASE FOR UP TO TWO 24"" LEVELS *NEW ITEM",885829001793
R316151,"LEVEL NYLON CASE FOR UP TO TWO 48"" LEVELS *NEW ITEM",885829001809
R316154,"LEVEL NYLON CASE FOR UP TO TWO 78"" LEVELS *NEW ITEM",885829001786
R316157,LEVEL BELT HOLSTER FOR LSTFM OR LKTFM TORPEDO LEVEL *NEW ITEM,885829001779
R316168,"SOLA LEVEL NYLON CASE, FITS 5 LEVELS 10"" TO 48"" LENGTHS *NEW ITEM",9002719042556
R316169,"SOLA LEVEL NYLON CASE, FITS 6 LEVELS 10"" TO 78"" LENGTHS *NEW ITEM",9002719042563
TPRO,"SOLA, 9"" TORPEDO LEVEL, CARDED, 3 VIALS, MAIN VIAL W/ ADDED RINGS, ABS & AL, MAG, V-GROOVE *NEW ITEM",9002719041573
TPRODISPLAY,"SOLA, 9"" TORPEDO LEVEL DISPLAY (10 UNITS), 3 VIALS, MAIN VIAL W/ ADDED RINGS, ABS & AL, MAG, V-GROOVE *NEW ITEM",9002719041573
VPMB,BLUE VALVE PAINT PEN,052837023660
VPMB-12,BULK PACK BLUE VALVE PAINT PEN,052837026586
VPMBK,BLACK VALVE PAINT PEN,052837023677
VPMBK-12,BULK PACK BLACK VALVE PAINT PEN,052837026593
VPMR,RED VALVE PAINT PEN,052837023684
VPMR-12,BULK PACK RED VALVE PAINT PEN,052837028481
VPMW,WHITE VALVE PAINT PEN,052837023653
VPMW-12,BULK PACK WHITE VALVE PAINT PEN,052837026609
VPMY,YELLOW VALVE PAINT PEN,052837023646
VPMY-12,BULK PACK YELLOW VALVE PAINT PEN,052837026616
BWB1000,BLACK & WHITE BRAIDED NYLON #18 X 1000 FT TWINE,052837020492
BWB250,BLACK & WHITE BRAIDED NYLON #18 X 250 FT TWINE,052867020478
BWB500,BLACK & WHITE BRAIDED NYLON #18 X 500 FT TWINE,052837020485
GB1000,GREEN BRAIDED NYLON #18 X 1000 FT TWINE,052837008292
GB250,GREEN BRAIDED NYLON #18 X 250 FT TWINE,052837008278
GB500,GREEN BRAIDED NYLON #18 X 500 FT TWINE,052837008285
GT1090,GREEN TWISTED NYLON - #18 X 1090 FT TWINE,052837108145
GT275,GREEN TWISTED NYLON #18 X 275 FT TWINE,052837108121
GT545,GREEN TWISTED NYLON #18 X 545 FT TWINE,052837008131
OB1000,ORANGE BRAIDED NYLON #18 X 1000 FT TWINE,052837008230
OB250,ORANGE BRAIDE NYLON #18 X 250 FT TWINE,052837008216
OB500,ORANGE BRAIDED NYLON #18 X 500 FT TWINE,052837008223
OT1090,ORANGE TWISTED NYLON #18 X 1090 FT TWINE,052837008087
OT275,ORANGE TWISTED NYLON # 18 X 275 FT TWINE,052837008063
OT545,ORANGE TWISTED NYLON #18 X 545 FT TWINE,052837008070
PB1000,PINK BRAIDED NYLON #18 X 1000 FT TWINE,052837008261
PB250,PINK BRAIDED NYLON #18 X 250 FT TWINE,052837008247
PB500,PINK BRAIDED NYLON #18 X 500 FT TWINE,052837008254
PT1090,PINK TWISTED NYLON #18 X 1090 FT TWINE,052837008117
PT275,PINK TWISTED NYLON #18 X 275 FT TWINE,052837008094
PT545,PINK TWISTED NYLON #18 X 545 FT TWINE,052837108107
WB1000,WHITE BRAIDED NYLON #18 X 1000 FT TWINE,052837108176
WB250,WHITE BRAIDED NYLON #18 X 250 FT TWINE,052837108152
WB500,WHITE BRAIDED NYLON #18 X 500 FT TWINE,052837108169
WT1090,WHITE TWISTED NYLON #18 X 1090 FT TWINE,052837008025
WT275,WHITE TWISTED NYLON #18 X 275 FT TWINE,052837008001
WT545,WHITE TWISTED NYLON #18 X 545 FT TWINE,052837008018
YB1000,YELLOW BRAIDED NYLON #18 X 1000 FT TWINE,052837008209
YB250,YELLOW BRAIDED NYLON #18 X 250 TWINE,052837108183
YB500,YELLOW BRAIDED NYLON #18 X 500 FT TWINE,052837008193
YT1090,YELLOW TWISTED NYLON #18 X 1090 FT TWINE,052837008056
YT275,YELLOW TWISTED NYLON #18 X 275 FT TWINE,052837008032
YT545,YELLOW TWISTED NYLON #18 X 545 FT TWINE,052837008049
WR1810,"6' x 5/8"" WHITE WOOD RULE, SIDE 1: FT & IN, SIDE 2: FT & 10ths; ENGINEERS'",052837028535
WR1818,"6' x 5/8"" WHITE WOOD RULE, SIDE 1: FT & IN, SIDE 2: FT & IN REVERSED",052837028528
WR1818X,"6' x 5/8"" NATURAL WOOD RULE, SIDE 1: FT & IN, SIDE 2: FT & IN; 6"" BRASS EXTENDER",052837028511
WR18BL,"6' x 5/8"" WHITE WOOD RULE, SIDE 1: FT & IN, SIDE 2: BRICK COURSES; BRICK MASONS'",052837028542
WR18M,"2M (78"") X 5/8"" WHITE WOOD RULE, SIDE 1: FT & IN, SIDE 2: MMC, CM, M; METRIC",052837028559
DG10018,"100 FT FIBERGLASS DEPTH GAUGE, UNITS: FT & IN",052837005413
DG15M,"15M, FIBERGLASS DEPTH GAUGE, UNITS: METRIC",052837026081
DG20018,"200 FT FIBERGLASS DEPTH GAUGE, UNITS: FT & IN",052837005420
DG2518,"25 FT FIBERGLASS DEPTH GAUGE, UNITS: FT & IN",052837025931
DG30018,"300 FT FIBERGLASS,DEPTH GAUGE, UNITS: FT & IN",052837028184
DG30M,"30M, FIBERGLASS DEPTH GAUGE, UNITS: METRIC",052837026098
DG5018,"50 FT FIBERGLASS DEPTH GAUGE, UNITS: FT & IN",052837005406
DG50M,"50M, FIBERGLASS DEPTH GAUGE, UNITS: METRIC",052837026104
SR100M,"100M SURVEYORS ROPE, UNITS: METRIC",052837021802
SR10100,"100 FT SURVEYORS ROPE, FT & 10THS",052837005604
SR10200,"200 FT SURVEYORS ROPE, FT & 10THS",052837005611
SR10300,"300 FT SURVEYORS ROPE, FT & 10THS",052837005628
SR18100,"100 FT SURVEYORS ROPE, FT & IN",052837005505
SR18200,"200 FT SURVEYORS ROPE, FT & IN",052837005512
SR18300,"300 FT SURVEYORS ROPE, FT & IN",052837005529
SR30M,"30M SURVEYORS ROPE, UNITS: METRIC",052837021772
SR50M,"50M SURVEYORS ROPE, UNITS: METRIC",052837021789
MC10100,"100 FT, UNITS: 1/10, 1/100, FIBERGLASS TAPE MEASURE CLOSED CASE",052837001316
MC1050,"50 FT, UNITS: 1/10, 1/100, FIBERGLASS TAPE MEASURE CLOSED CASE",052837001309
MC10M100,"100 FT, UNITS: 1/10, 1/100 & 30M, FIBERGLASS TAPE MEASURE CLOSED CASE",052837001019
MC10M50,"50 FT, UNITS: 1/10, 1/100 & 15M, FIBERGLASS TAPE MEASURE CLOSED CASE",052837001002
MC18100,"100 FT, UNITS: IN, 1/8, FIBERGLASS TAPE MEASURE CLOSED CASE",052837000111
MC1810100,"100 FT, UNITS: IN, 1/8, AND FT, 1/10, 1/100, FIBERGLASS TAPE MEASURE CLOSED CASE",052837000715
MC181050,"50 FT, UNITS: IN, 1/8, AND FT, 1/10, 1/100, FIBERGLASS TAPE MEASURE CLOSED CASE",052837000708
MC1850,"50 FT, UNITS: IN, 1/8, FIBERGLASS TAPE MEASURE CLOSED CASE",052837000104
MC18M100,"100 FT, UNITS: IN, 1/8 & 30M, FIBERGLASS TAPE MEASURE CLOSED CASE",052837000418
MC18M50,"50 FT, UNITS: IN, 1/8 & 15M, FIBERGLASS TAPE MEASURE CLOSED CASE",052837000401
OTR100M,"100M, UNITS: METRIC FIBERGLASS TAPE MEASURE W/HOOK",052837010431
OTR100MM,"100M, UNITS: METRIC 100M/100M DOUBLE SIDED FIBERGLASS TAPE MEASURE W/HOOK",052837020027
OTR10100,"100 FT, UNITS: 1/10, 1/100, FIBERGLASS TAPE MEASURE WITH HOOK",052837001415
OTR10165,"165 FT, UNITS: 1/10, 1/100, FIBERGLASS TAPE MEASURE WITH HOOK",052837001422
OTR10200,"200 FT, UNITS: 1/10, 1/100, FIBERGLASS TAPE MEASURE WITH HOOK",052837001439
