product_name,sku
"Reed CV4 Reed Chain Vise (1/8"" - 4"" Capacity) 02520",CV4
"Reed CV5 Reed Chain Vise (1/8"" - 5"" Capacity) 02530",CV5
"Reed CV6 Reed Chain Vise (1/4"" - 6"" Capacity) 02540",CV6
"Reed CV8 Reed Chain Vise (1/2"" - 8"" Capacity) 02550",CV8
"Reed 10"" Chrome Adjustable Wrench CW10 02205",CW10
"Reed CW10 Grip 10"" Comfort Grip Adjustable Wrench 02910",CW10GRIP
"Reed 12"" Chrome Adjustable Wrench CW12 02207",CW12
"Reed CW12 Grip 12"" Comfort Grip Adjustable Wrench 02912",CW12GRIP
"Reed 15"" Chrome Adjustable Wrench CW15 02209",CW15
"Reed 18"" Chrome Adjustable Wrench CW18 02211",CW18
"Reed 24"" Chrome Adjustable Wrench CW24 02218",CW24
"Reed 4"" Chrome Adjustable Wrench CW4 02199",CW4
"Reed 6"" Chrome Adjustable Wrench CW6 02201",CW6
"Reed CW6 Grip 6"" Comfort Grip Adjustable Wrench 02906",CW6GRIP
"Reed 8"" Chrome Adjustable Wrench CW8 02203",CW8
"Reed CW8 Grip 8"" Comfort Grip Adjustable Wrench 02908",CW8GRIP
"Reed 10"" Blackened Adjustable Wrench CWB10 02214",CWB10
"Reed 12"" Blackened Adjustable Wrench CWB12 02215",CWB12
"Reed 15"" Blackened Adjustable Wrench CWB15 02216",CWB15
"Reed 18"" Blackened Adjustable Wrench CWB18 02217",CWB18
"Reed 6"" Blackened Adjustable Wrench CWB6 02212",CWB6
"Reed 8"" Blackened Adjustable Wrench CWB8 02213",CWB8
"Reed D688 11/16"" Drill Bit for Drilling Machines 04380",D688
"Reed D875 7/8"" Drill Bit for Drilling Machines 04381",D875
"Reed D938 15/16"" Drill Bit for Drilling Machines 04382",D938
Reed DEB0 Deburring Tool 04434,DEB0
Reed DEB1-2CTS Deburring Tool 04656,DEB1-2CTS
Reed DEB1-2IPS Deburring Tool 04654,DEB1-2IPS
Reed DEB1CTS Deburring Tool 04652,DEB1CTS
Reed DEB1IPS Deburring Tool 04650,DEB1IPS
Reed DEB1IPS-INT Deburring Tool 04670,DEB1IPS-INT
Reed DEB2 Deburring Tool 04436,DEB2
Reed DEB200 Deburring Tool Inner & Outer 04431,DEB200
Reed DEB3 Deburring Tool 04437,DEB3
Reed DEB4 Deburring Tool 04430,DEB4
Reed DH81-2 Enclosed Ratchet Threader Set (5 Heads) 05202,DH81-2
Reed DH81-4 Enclosed Ratchet Threader Set (3 Heads) 05204,DH81-4
Reed DH82-3 Enclosed Ratchet Threader Set (5 Heads) 05201,DH82-3
Reed DH82-4 Enclosed Ratchet Threader Set (4 Heads) 05200,DH82-4
Reed DH84-4 Enclosed Ratchet Threader Set (6 Heads) 05222,DH84-4
Reed DH84-5 Enclosed Ratchet Threader Set (5 Heads) 05223,DH84-5
Reed DH84-6 Enclosed Ratchet Threader Set (4 Heads) 05224,DH84-6
Reed DH84-7 Enclosed Ratchet Threader Set (3 Heads) 05225,DH84-7
"Reed DHR12 11/2NPT  R12+ Drophread 1 1/2"" NPT 05634",DHR12 112NPT
"Reed DHR12 11/4NPT  R12+ Drophread 1 1/4"" NPT 05632",DHR12 114NPT
"Reed DHR12 1/2NPT  R12+ Drophread 1/2"" NPT 05626",DHR12 12NPT
"Reed DHR12 1NPT  R12+ Drophread 1"" NPT 05630",DHR12 1NPT
"Reed DHR12 2NPT  R12+ Drophread 2"" NPT 05636",DHR12 2NPT
"Reed DHR12 3/4NPT  R12+ Drophread 3/4"" NPT 05628",DHR12 34NPT
"Reed DM100CONV 1"" NPT - AWWA Converter 98473",DM100CONV
Reed DM1100BB Drilling Machine Boring Bar 99304,DM1100BB
Reed DM11BBEXT Drilling Machine Boring Bar Extension 99390,DM11BBEXT
"DM2100 3/4""-2"" AWWA Drilling Machine Kit 09312",DM2100
"DM2100110 3/4""-2"" 110 Compression Drilling Machine Kit 09317",DM2100110
"DM2100NPT 3/4""-2"" NPT Corp Stop Drilling Machine Kit 09315",DM2100NPT
"DM2100UNIVERSAL Reed 3/4""-2"" AWWA & NPT Drilling Machine Kit 09321",DM2100UNIVERSAL
Reed DM3MECH Mechanical Hot Tapping 08350,DM3MECH
Reed DM3MECHB Mechanical Hot Tapping 08351,DM3MECHB
"Reed DM75CONV 3/4"" NPT -AWWA Converter 98472",DM75CONV
"Reed DMCA100 1"" AWWA Corporation Adapter 08424",DMCA100
"Reed DMCA100IPS 1"" IPS Corporation Adapter 98499",DMCA100IPS
"Reed DMCA100PVC 1"" AWWA Corporation Adapter 04427",DMCA100PVC
"Reed DMCA110150 1 1/2"" 110 Corporation Adapter 08431",DMCA110150
"Reed DMCA110200  2"" 110 Corporation Adapter 08432",DMCA110200
"Reed DMCA150 1 1/2"" AWWA Corporation Adapter 08425",DMCA150
"Reed DMCA150NPT 1 1/2"" NPT Corporation Adapter 08428",DMCA150NPT
"Reed DMCA200 2"" AWWA Corporation Adapter 08426",DMCA200
"Reed DMCA200NPT 2"" NPT Corporation Adapter 08429",DMCA200NPT
"Reed DMCA75 3/4"" AWWA Corporation Adapter 08423",DMCA75
"Reed DMCA75PVC 3/4"" AWWA Corporation Adapter 04426",DMCA75PVC
DMPVC PVC/PE Drilling Machine Kit 04402,DMPVC
"DMPVC1 1"" PVC/PE Drilling Only Machine 04420",DMPVC1
"DMPVC3/4 3/4"" PVC/PE Drilling Only Machine 04418",DMPVC34
DMPVCBASE PVC/PE Drilling Machine Base Unit 04401,DMPVCBASE
DMPVCCOMPLETE PVC/PE Complete Drilling Machine Kit 04404,DMPVCCOMPLETE
Reed DPHTP500 Drill Powered Hydrostatic Test Pump 08177,DPHTP500
Reed DS12 Pipe Descaler 08000,DS12
Reed DS12B Pipe Belt Descaler 08008,DS12B
Reed DS36 Pipe Descaler 08006,DS36
"Reed DT100 1"" CC Drill Tap for Cast & Ductile 04391",DT100
"Reed DT100P 1"" CC Drill Tap for PVC C900 04397",DT100P
"Reed DT75 3/4"" CC Drill Tap for Cast & Ductile 04390",DT75
"Reed DT75P 3/4"" CC Drill Tap for PVC C900 04396",DT75P
"Reed 3/4""Extended Length Socket EDS12 02622",EDS12
"Reed 7/8"" Extended Length Socket EDS14 02624",EDS14
"Reed 15/16"" Extended Length Socket EDS15 02625",EDS15
"Reed 1  1/16"" Extended Length Socket EDS17 02626",EDS17
"Reed 1 1/8"" Extended Length Socket EDS18 02628",EDS18
"Reed 1 1/4"" Extended Length Socket EDS20 02630",EDS20
Reed EDSK5 Extended Length Socket Set w/Case 02640,EDSK5
Reed EDSK6 Extended Length Socket Set w/Case 02645,EDSK6
Reed EHTP500 Electric Hydrostatic Test Pump 08170,EHTP500
Reed EHTP500C Electric Hydrostatic Test Pump with Cage 08175,EHTP500C
"Reed EHTPOUTHOSE 3/8"" x 15' High Pressure Output Hose  08172",EHTPOUTHOSE
Reed Regulator Assembly for EHTP500 & EHTP500C Test Pump 48189,EHTPRA
Reed FPV20 Field Pipe Vise 06027,FPV20
Reed FRL Filter - Regulator - Lubricator 97591,FRL
Reed FSPR4 4' Fiberglass Tile Probe 02960,FSPR4
"Reed FT100CC110 Feed Tap 1"" AWWA & CC Corporation Adapter 09171",FT100CC110
"Reed FT100NPT Feed Tap 1"" NPT Corporation Adapter 99118",FT100NPT
"Reed FT150 Feed Tap 1 1/2"" AWWA Corporation Adapter 09172",FT150
"Reed FT150110 Feed Tap 1 1/2"" CC Corporation Adapter 09173",FT150110
"Reed FT150NPT Feed Tap 1 1/2"" NPT Corporation Adapter 99109",FT150NPT
"Reed FT200 Feed Tap 2"" AWWA Corporation Adapter 09174",FT200
"FT2000 Feed Tap Drilling Machine 3/4""-2"" AWWA Kit 09162",FT2000
"FT2000CC110 Feed Tap Drilling Machine 3/4""-2"" AWWA/110 Kit 09161",FT2000CC110
FT2000UNIV Feed Tap Drilling Machine Complete Kit 09165,FT2000UNIV
"Reed FT200110 Feed Tap 2"" CC Corporation Adapter 09175",FT200110
"Reed FT200NPT Feed Tap 2"" NPT Corporation Adapter 99112",FT200NPT
"Reed FT75CC110 Feed Tap 3/4"" AWWA & CC  Corporation Adapter 09170",FT75CC110
"Reed FT75NPT Feed Tap 3/4"" NPT Corporation Adapter 99117",FT75NPT
FTB Feed Tap Drilling Machine Basic Kit 09160,FTB
"FTP2000UNIV Feed Tap Kit 3/4""-2"" Drilling Machine for Plastic Pipe 09168",FTP2000UNIV
"Reed FTSC1438 Feed Tap 1 1/2"" Heavy Duty Shell Cutter 99137",FTSC1438
"Reed FTSC1750 Feed Tap 2"" Heavy Duty Shell Cutter 99138",FTSC1750
"Reed FTSC688 Feed Tap 3/4"" Heavy Duty Shell Cutter 99132",FTSC688
"Reed FTSC875 Feed Tap 1"" Heavy Duty Shell Cutter 99134",FTSC875
"Reed GR1.3 Plastic Grommets 1 11/32""  (100/Bag) 06475",GR1.3
Reed H12I Hinged Pipe Cutter for Cast & Ductile Iron 03152,H12I
Reed H12S Hinged Pipe Cutter for Steel & Stainless Steel Sch40 03150,H12S
Reed H12SHH Hinged Pipe Cutter with Helper Handles 03158,H12SHH
Reed H12X Hinged Pipe Cutter for Steel & Stainless Steel Sch80 03154,H12X
Reed H12XHH Hinged Pipe Cutter with Helper Handles 03157,H12XHH
Reed H12XX Hinged Pipe Cutter for Steel & Stainless Steel HD 03156,H12XX
Reed H12XXHH Hinged Pipe Cutter with Helper Handles 03159,H12XXHH
Reed H21/2I Hinged Pipe Cutter for Cast & Ductile Iron 03112,H212I
Reed H21/2S Hinged Pipe Cutter for Steel & Stainless Steel Sch40 03110,H212S
Reed H21/2X Hinged Pipe Cutter for Steel & Stainless Steel Sch80 03114,H212X
Reed H4I Hinged Pipe Cutter for Cast & Ductile Iron 03122,H4I
Reed H4S Hinged Pipe Cutter for Steel & Stainless Steel Sch40 03120,H4S
Reed H4X Hinged Pipe Cutter for Steel & Stainless Steel Sch80 03124,H4X
Reed H6I Hinged Pipe Cutter for Cast & Ductile Iron 03132,H6I
Reed H6S Hinged Pipe Cutter for Steel & Stainless Steel Sch40  03130,H6S
Reed H6SHH Hinged Pipe Cutter with Helper Handles 03138,H6SHH
Reed H6X Hinged Pipe Cutter for Steel & Stainless Steel Sch80 03134,H6X
Reed H6XHH Hinged Pipe Cutter with Helper Handles 03139,H6XHH
Reed H8I Hinged Pipe Cutter for Cast & Ductile Iron 03142,H8I
Reed H8S Hinged Pipe Cutter for Steel & Stainless Steel Sch40  03140,H8S
Reed H8SHH Hinged Pipe Cutter with Helper Handles  03148,H8SHH
Reed H8X Hinged Pipe Cutter for Steel & Stainless Steel Sch80 03144,H8X
Reed H8XHH Hinged Pipe Cutter with Helper Handles  03147,H8XHH
Reed H8XX Hinged Pipe Cutter for Steel & Stainless Steel HD 03146,H8XX
Reed H8XXHH Hinged Pipe Cutter with Helper Handles  03149,H8XXHH
Reed HAM3 Brass Hammer 06088,HAM3
"Reed HDHS1438 1 7/16"" HD Hole Cutter for Drilling Machines 04354",HDHS1438
"Reed HDHS1750 1 3/4"" HD Hole Cutter for Drilling Machines 04355",HDHS1750
"Reed HDHS1875 1 7/8"" HD Hole Cutter for Drilling Machines 04356",HDHS1875
"Reed HF1 Hammer Flaring Tool for 1"" Copper 06072",HF1
"Reed HF112 Hammer Flaring Tool for 1 1/2"" Copper 06077",HF112
"Reed HF2 Hammer Flaring Tool for 2"" Copper 06078",HF2
"Reed HF34 Hammer Flaring Tool for 3/4"" Copper 06071",HF34
Reed HI6 Cutter Wheel for Pipe Cutters 03524,HI6
Reed HPC12 Guillotine Pipe Cutter for PE 04612,HPC12
Reed HPC12B Guillotine Replacement Blade 94903,HPC12B
Reed HPC4+ Guillotine Pipe Cutter for PE 04605,HPC4+
Reed HPC4B Guillotine Replacement Blade 40329,HPC4B
Reed HPC8+ Guillotine Pipe Cutter for PE 04609,HPC8+
Reed HPC8B Guillotine Replacement Blade 40027,HPC8B
Reed HS4 Cutter Wheel for Pipe Cutters 03504,HS4
Reed HS6 Cutter Wheel for Pipe Cutters 03506,HS6
Reed HS8-12 Cutter Wheel for Pipe Cutters 03508,HS8-12
"Reed HSPD 1/4"" Pilot Drill Bit for Tapping Machines 04561",HSPD
Reed HW Hydrant Wrench 02295,HW
Reed HWFR Ratcheting Hydrant Wrench 02397,HWFR
Reed IC1A Internal Pipe Cutter 04500,IC1A
Reed IC1S Internal Pipe Cutter 04501,IC1S
Reed IC1SL Internal Pipe Cutter 04505,IC1SL
Reed IC3/4SL Internal Pipe Cutter 04507,IC3-4SL
Reed Folding V-Head Pipe Jack 06370,JFV
Reed V-Head Pipe Jack 06350,JHV
"Reed L12 THRU-BOLTâ„¢ 3/4"" Hex Socket 02265",L12
"Reed L14 THRU-BOLTâ„¢ 7/8"" Hex Socket 02266",L14
"Reed L15 THRU-BOLTâ„¢ 15/16"" Hex Socket 02267",L15
Reed L151 THRU-BOLTâ„¢ Stamped Ratchet Handle 02262,L151
Reed L152 THRU-BOLTâ„¢ Stamped Ratchet Handle 02670,L152
"Reed L16 THRU-BOLTâ„¢ 1"" Hex Socket 02268",L16
"Reed L17 THRU-BOLTâ„¢ 1 1/16"" Hex Socket 02269",L17
"Reed L18 THRU-BOLTâ„¢ 1 1/8"" Hex Socket 02270",L18
Reed L1815 Thru-Bolt Dual Socket Ratchet Wrench 02253,L1815
Reed L1817 Thru-Bolt Dual Socket Ratchet Wrench 02252,L1817
"Reed L20 THRU-BOLTâ„¢ 1 1/4"" Hex Socket 02271",L20
Reed L2017 Thru-Bolt Dual Socket Ratchet Wrench 02251,L2017
"Reed L23 THRU-BOLTâ„¢ 1 7/16"" Hex Socket 02680",L23
"Reed L24 THRU-BOLTâ„¢ 1 1/2"" Hex Socket 02682",L24
"Reed L26 THRU-BOLTâ„¢ 1 5/8"" Hex Socket 02684",L26
Reed L2N1ADJ Thru-Bolt 2-in-1 Adjustable Ratchet Wrench 02695,L2N1ADJ
Reed L4N1 Thru-Bolt 4-in-1 Ratchet Wrench 02690,L4N1
Reed L4N1XP Thru-Bolt 4-in-1 Sealed Ratchet Wrench 02692,L4N1XP
Reed L500 THRU-BOLTâ„¢ Quick Release Cast Ratchet Handle 02260,L500
Reed L51 THRU-BOLTâ„¢ Cast Ratchet Handle 02259,L51
Reed L511 Thru-Bolt Standard Utility Ratchet Wrench Set 02284,L511
Reed L514 Thru-Bolt Standard Utility Ratchet Wrench Set 02286,L514
Reed L515 Thru-Bolt Standard Utility Ratchet Wrench Set 02285,L515
Reed L564 THRU-BOLTâ„¢ Quick Release Adjustable Ratchet Handle 02263,L564
LCRC12I Low Clearance Rotary Pipe Cutters for Cast or Ductile  03312,LCRC12I
LCRC12S Low Clearance Rotary Pipe Cutters for Steel or Stainless 03313,LCRC12S
LCRC12X Low Clearance Rotary Pipe Cutters for Steel or Stainless 03314,LCRC12X
LCRC16I Low Clearance Rotary Pipe Cutters for Cast or Ductile 03316,LCRC16I
LCRC16S Low Clearance Rotary Pipe Cutters for Steel or Stainless 03317,LCRC16S
LCRC16X Low Clearance Rotary Pipe Cutters for Steel or Stainless 03318,LCRC16X
LCRC4I Low Clearance Rotary Pipe Cutters for Cast or Ductile 03306,LCRC4I
LCRC4S Low Clearance Rotary Pipe Cutters for Steel or Stainless 03307,LCRC4S
LCRC4X Low Clearance Rotary Pipe Cutters for Steel or Stainless 03304,LCRC4X
LCRC8I Low Clearance Rotary Pipe Cutters for Cast or Ductile 03308,LCRC8I
LCRC8S Low Clearance Rotary Pipe Cutters for Steel or Stainless 03309,LCRC8S
LCRC8X Low Clearance Rotary Pipe Cutters for Steel or Stainless 03311,LCRC8X
Reed LHM2275 Thru-Bolt Dual Socket Hymax Ratchet Wrench 02225,LHM2275
Reed LV1815 Thru-Bolt Dual Socket Ratchet Wrench 02952,LV1815
Reed LV2017 Thru-Bolt Dual Socket Ratchet Wrench 02950,LV2017
Reed LV6WW Waterworks Torpedo Level 06214,LV6WW
Reed LV9PLB Plumbing Torpedo Level 06213,LV9PLB
Reed LVDSSET Thru-Bolt Dual Socket Ratchet Wrench Set 02930,LVDSSET
Reed LVHM2275 Thru-Bolt Dual Socket Ratchet Wrench 02954,LVHM2275
Reed MC1 Mini Tubing Cutter 03470,MC1
Reed MC2 Mini Tubing Cutter 03490,MC2
Reed MC2GRIP Mini Tubing Cutter 03493,MC2GRIP
Reed MC3 Mini Tubing Cutter 03495,MC3
"Reed 26"" Manhole Hook MH26 02301",MH26
"Reed 30"" Manhole Hook MH30 02302",MH30
"Reed 36"" Manhole Hook MH36 02303",MH36
Reed Meter Lid Ductile T Skeleton Key MKDT 02375,MKDT
Reed 3 Way Meter Box Key MKF2 02364,MKF2
Reed Meter Box & Curb Box Key MKF324 02367,MKF324
Reed 4 Way Meter Box Key MKH10820 02380,MKH10820
"Reed MW11/4 One Hand Meter Wrench (3/8"" - 1 1/4"") 02281",MW114
"Reed MW11/4GRIP One Hand Meter Wrench (3/8"" - 1 1/4"") 02386",MW114GRIP
"Reed MW3/4 One Hand Meter Wrench (1/8"" - 3/4"") 02289",MW34
Reed O Cutter Wheel for Tubing Cutter 03660,O
Reed O Cutter Wheel for Tubing Cutter (2 PK) 63660,O-2PK
Reed OGC Threadguard Clear Cutting Oil (Gallon) 06112,OGC
Reed OGD Threadguard Dark Cutting Oil (Gallon) 06120,OGD
Reed OLBUCKT1 Oiler 06150,OLBUCKT1
Reed OLKIT1 Oiler Kit 06158,OLK1
Reed OP2 Cutter Wheel for Tubing Cutter 04180,OP2
Reed OP2 Cutter Wheel for Tubing Cutter (2PK) 64180,OP2-2PK
Reed OSS Cutter Wheel for Tubing Cutter 03655,OSS
"Reed PB2  2"" Drill Powered Plastic Pipe Chamfer Tool 04662",PB2
"Reed PB3  3"" Drill Powered Plastic Pipe Chamfer Tool 04663",PB3
"Reed PB4  4"" Drill Powered Plastic Pipe Chamfer Tool 04664",PB4
Reed PBKIT Drill Powered Plastic Pipe Chamfer Set 04660,PBKIT
Reed PDEB1-2IPS Drill Powered Deburring Tool 04657,PDEB1-2IPS
Reed PDEB1IPS Drill Powered Deburring Tool for PVC & CPVC 04651,PDEB1IPS
Reed PDEB250 Cone Chamfer Tool for PVC & CPVC 04438,PDEB250
Reed PDEB250B Replacement Blades for PDEB250 Cone Chamfer 94440,PDEB250B
Reed PEGR7 Static Grounding Device  with Set Screw Lugs 04621,PEGR7
"Reed PEP125CTS11 True Peel PE Prep Tool for 1 1/4"" CTS SDR11  04625",PEP125CTS11
